,일자,식사명,식사내용
638,20030808,점심식사,"기장밥,꽁치시래기찌개,대체용음식,무생채,복숭아,삼겹살구이1,여러가지쌈,콩가루배추국(단배추)-사용불가,포기김치2"
639,20030808,저녁식사,"깍두기(손칼),대체용음식,대체용음식2,동그랑땡계란전,레몬차,미역초매운탕(행),부추김무침,쌀밥,연근조림,오징어콩나물찜"
640,20030809,아침식사,"건새우마늘쫑볶음,돈육야채볶음,북어계란국,숙주미나리나물,여러가지야채,우유,인삼밤죽,포기김치2,흑미밥"
641,20030809,아침식사2,"그린스프(경양식),더운야채,딸기잼(대),모듬샐러드,비엔나구이(경앙식),우유,콘후레이크,프렌치토스트&모닝빵"
642,20030809,점심식사,"군고구마,냉국수,닭조림(토막),쌀밥(사무직),열무된장무침,오징어볼탕수,포기김치"
643,20030809,저녁식사,"고등어무조림,떡갈비,쑥갓두부무침,알타리김치,오이생채,장터국밥"
644,20030810,아침식사,"돈등뼈감자탕,삼치소금구이,쌀밥,알타리김치,여러가지야채,옥수수죽,우유,통도라지조림,풋고추,쌈장"
645,20030810,아침식사2,"감자튀김(40),당근스프(경양식),모듬샐러드,삶은계란(양식),우유,토스트&모닝빵(양식),포도잼(대),후르츠펀치"
646,20030810,점심식사,"근대국,쇠고기당면볶음,수정과,쌀밥,영양밥,오이생채,즉석김구이,포기김치2,햄멸치꽈리조림"
647,20030810,저녁식사,"가자미미역국,골뱅이야채무침,닭불고기(180),맛살조림,새우살부추냉채,쌀밥,포기김치2,후르츠펀치"
648,20030811,아침식사,"갈치무조림,미역줄기볶음,미트볼케찹조림,쌀밥,여러가지야채,우유,콩가루배추국(단배추)-사용불가,포기김치,흑임자죽"
649,20030811,아침식사2,"감자튀김(40),더운야채,딸기잼(대),모닝빵,모듬샐러드,야채토스트,우유,콘후레이크,크림스프(경양식)"
650,20030811,점심식사,"단배추나물,땅콩흑콩조림,물만두국,생선까스,쌀밥,아오리사과,포기김치2"
651,20030811,저녁식사,"가지쇠고기볶음,기장밥,깍두기(손칼),꽈리고추찜,닭개장,시금치나물(90),오징어회무침,요구르트"
652,20030812,아침식사,"계란후라이,고추지무침,김치볶음,쇠고기떡볶음,쌀밥,어묵쑥갓무국,여러가지야채,연두부양념장,옥수수죽,우유"
653,20030812,아침식사2,"계란후라이,당근스프(경양식),모듬샐러드,사과잼(대),우유,토스트&모닝빵(양식),햄구이(경양식),후르츠펀치"
654,20030812,점심식사,"된장찌개,보리밥,복숭아,상추깻잎쌈,열무김치,오리고추장불고기,표고피망볶음,해파리냉채"
655,20030812,저녁식사,"닭조림(토막),마늘쫑멸치볶음,부추게살무침,쌀밥,어묵고추볶음,조기매운탕,포기김치2"
656,20030813,아침식사,"가자미찜,맛살냉채,소라죽(소),쌀밥,여러가지야채,열무된장국,우유,포기김치,호박나물"
657,20030813,아침식사2,"감자튀김(40),딸기잼(대),모듬샐러드,비엔나구이(경앙식),양송이스프,우유,콘후레이크,프렌치토스트&모닝빵"
658,20030813,점심식사,"깍두기(손칼),닭다리조림,떡볶이,부추겉절이,쇠고기덮밥,식혜,콩나물냉국"
659,20030813,저녁식사,"돈육불고기,동그랑땡계란전,바나나,북어무국,쑥갓양파겉절이,탕평채,포기김치2,흑미밥"
660,20030814,아침식사,"꽁치두부찌개,쇠고기무국,쌀밥,아오리사과,야채죽,여러가지야채,우유,즉석김구이,콩나물무침,포기김치"
661,20030814,아침식사2,"그린스프(경양식),딸기잼(대),모듬샐러드,스크램블에그(경양식),오징어바튀김,우유,토스트&모닝빵(양식),후르츠펀치"
662,20030814,점심식사,"감자베이컨볶음,김치국,깍두기(손칼),대구콩나물찜,바나나,비름나물,쌀밥,탕수육"
663,20030814,저녁식사,"감자수제비국(큰그릇),깍두기(손칼),메추리알햄조림,쇠고기팽이버섯볶음,쌀밥(사무직),열무된장무침,해물파전"
664,20030815,아침식사,"고등어김치찌개,근대국,깍두기(손칼),부추김무침,쇠고기장조림,쌀밥,알땅콩죽,여러가지야채2,우유"
665,20030815,아침식사2,"감자튀김(40),당근스프(경양식),더운야채,모닝빵,모듬샐러드,야채토스트,우유,콘후레이크,포도잼(대)"
666,20030815,점심식사,"두부양념장구이,삼치엿장조림,수박화채,쌀밥(사무직),알타리김치,오이,풋고추,쌈장,한방닭백숙(반마리)"
667,20030815,저녁식사,"돈갈비떡찜,미나리나물,부추게살무침,쌀밥,야채고로케,오징어무국,포기김치2"
668,20030816,아침식사,"감자간장조림,깻잎양념절임,대구지리(가공),돈육야채볶음,쌀밥,여러가지야채1,우유,인삼밤죽,포기김치"
669,20030816,아침식사2,"딸기잼(대),맛감자튀김,모듬샐러드,삶은계란(양식),양송이스프(경양식),우유,프렌치토스트&모닝빵,햄구이(경양식)"
670,20030816,점심식사,"떡갈비,미숫가루2,미역오이냉국,산채비빔밥,포기김치2,햄멸치꽈리조림"
671,20030816,저녁식사,"건새우마늘쫑볶음,과일샐러드,닭파인애플조림(토막),두부강정,들깨미역국,쌀밥,포기김치2"
672,20030817,아침식사,"갈치그릴구이,계란찜,녹두죽,쌀밥,알타리김치,여러가지야채,오징어젓무침,우유,해장국"
673,20030817,아침식사2,"동그랑땡구이,케찹,모듬샐러드,스위트피클,우유,크림스프(경양식),토스트&모닝빵(양식),포도잼(대),후르츠펀치"
674,20030817,점심식사,"계란탕,쌀밥(사무직),아몬드닭강정,어묵간장조림,쫄면,콩나물겨자채무침,포기김치2,후르츠펀치"
675,20030817,저녁식사,"깍두기(손칼),돈육짜장볶음,쌀밥,오렌지(반),오리탕,오이양파무침,진미잔파무침,탕수만두"
676,20030818,아침식사," 알감자 쇠고기 조림,맛살조림,쌀밥,쑥갓두부무침,아오리사과,여러가지야채,오징어무국,옥수수죽,우유,포기김치2"
677,20030818,아침식사2,"계란후라이,당근스프(경양식),딸기잼(대),모듬샐러드,베이컨구이,우유,콘후레이크,토스트&모닝빵"
678,20030818,점심식사,"꽁치두부찌개,돈등뼈감자탕,식혜,쌀밥,알타리김치,오이,당근,쌈장,진미잔파무침,탕평채"
679,20030818,저녁식사,"도토리묵말이,돈육메추리알조림,쌀밥,조기찜,포기김치2,해물파전,호박나물"
680,20030819,아침식사,"동태무조림(가공),쇠고기맑은국,쌀밥,양송이피망볶음,여러가지야채1,열무된장무침,우유,콩죽,포기김치2"
681,20030819,아침식사2,"감자튀김(40),모닝빵,모듬샐러드,쇠고기스프(경양식),야채토스트,우유,콘후레이크,포도잼(대),후르츠펀치"
682,20030819,점심식사,"건새우마늘쫑볶음,백김치,생선까스,오렌지(반),오징어회덮밥,콩나물냉국"
683,20030819,저녁식사,"김치국,깍두기(손칼),닭다리바베큐소스,레몬차,쑥갓양파겉절이,카레라이스,햄멸치꽈리조림"
684,20030820,아침식사,"마늘쫑어묵볶음,바나나,삼치소금구이,소라죽(소),시금치된장국,여러가지야채,우유,콩나물무침,포기김치2,흑콩밥"
685,20030820,아침식사2,"그린스프(경양식),더운야채,모듬샐러드,바나나,사과잼(대),스크램블에그(경양식),오징어바튀김,우유,토스트&모닝빵(양식)"
686,20030820,점심식사,"두부양념장구이,들깨미역국,수박화채,쌀밥,안동찜닭,오이부추무침,포기김치2,햄느타리볶음"
687,20030820,저녁식사,"건새우호박국,무생채,미숫가루2,삼겹살구이1,상추쌈,쌀밥,양배추쌈,포기김치2,표고피망볶음"
688,20030821,아침식사,"돈육불고기,북어무국,쌀밥,여러가지야채2,우엉채조림,우유,콩나물잡채,포기김치2,호박죽(소)"
689,20030821,아침식사2,"딸기잼(대),모듬샐러드,우유,콘후레이크,크림스프(경양식),프렌치토스트&모닝빵,햄구이(경양식),후르츠펀치"
690,20030821,점심식사,"닭살탕수,쇠고기브로컬리볶음,수정과,영양밥,잔파생채(70),즉석김구이,콩가루배추국(단배추)-사용불가,포기김치2"
691,20030821,저녁식사,"갈치무조림,계란찜,숙주미나리나물,쌀밥,추어탕,포기김치2,풋고추,쌈장"
692,20030822,아침식사,"깍두기(손칼),닭개장,두부찌개,쌀밥,여러가지야채1,오징어야채볶음,우유,인삼밤죽,호박새우젓볶음"
693,20030822,아침식사2,"감자튀김(40),당근스프(경양식),더운야채,모듬샐러드,삶은계란(양식),우유,토스트&모닝빵(양식),포도잼(대)"
694,20030822,점심식사,"가지쇠고기볶음,기장밥,닭조림(토막),동태매운탕(가공),메추리알조림,치커리무생채,포기김치2,후르츠펀치"
695,20030822,저녁식사,"고추지무침,꽁치양념구이,매실차,석박지,설렁탕1,쌀밥,어묵간장조림"
696,20030823,아침식사,"단배추나물,비엔나꽈리조림,쌀밥,여러가지야채2,열기찜,우유,팽이버섯국,포기김치2,흑임자죽"
697,20030823,아침식사2,"그린스프(경양식),모듬샐러드,미니돈까스,케찹소스,사과잼(대),스위트피클,우유,토스트&모닝빵(양식),후르츠펀치"
698,20030823,점심식사,"단무지.옥파,삼치엿장조림,쌀밥(반공기),짬뽕,찐만두,포기김치2,포도"
699,20030823,저녁식사,"가지오이냉국,보리밥,비빔된장,어채볶음(굵은채),열무김치,오리고추장불고기,콩나물무침,파인애플(1조각)"
700,20030824,아침식사,"고등어김치찌개,깍두기(손칼),미트볼케찹조림,부추겉절이,쌀밥,알땅콩죽,여러가지야채1,우유,호박새우젓국"
701,20030824,아침식사2,"감자튀김(40),딸기잼(대),모듬샐러드,비엔나구이(경앙식),옥수수스프(경양식),우유,콘후레이크,프렌치토스트&모닝빵"
702,20030824,점심식사,"감자베이컨볶음,깻잎양념절임,복숭아,쇠고기장조림,쌀밥,오징어콩나물찜,팽이북어국,포기김치2"
703,20030824,저녁식사,"돈갈비고구마찜,떡국,마늘쫑멸치볶음,쌀밥,오이생채,포기김치2,햄계란부침"
704,20030825,아침식사,"감자다시마국,계란후라이,쇠고기꽈리복음,쌀밥,여러가지야채2,우유,진미고추장무침,콩죽,포기김치,호박나물"
705,20030825,아침식사2,"계란후라이,모듬샐러드,양송이스프(경양식),우유,토스트&모닝빵(양식),포도잼(대),햄구이(경양식),후르츠펀치"
706,20030825,점심식사,"가지나물,닭파인애플조림(토막),돈육강정,두부찌개,쌀밥,아오리사과,열무된장국,포기김치2"
707,20030825,저녁식사,"가자미양념장구이,닭곰탕,마늘쫑지무침,쌀밥,알타리김치,어묵고추볶음,요구르트,풋고추,쌈장"
708,20030826,아침식사,"쌀밥,야채고로케,야채죽,여러가지야채1,우유,자반고등어찜2,콩가루배추국(단배추)-사용불가,콩나물무침,포기김치"
709,20030826,아침식사2,"감자튀김(40),그린스프(경양식),더운야채,딸기잼(대),모듬샐러드,우유,콘후레이크,프렌치토스트&모닝빵"
710,20030826,점심식사,"대구지리(가공),메추리알꽈리조림,미숫가루2,소면사리,쌀밥,쭈꾸미볶음,치커리무생채,칠면조냉채,포기김치2"
711,20030826,저녁식사,"고구마순볶음(포),깍두기(손칼),깻잎양파겉절이,떡갈비바베큐조림,삼치소금구이,쌀밥,육개장"
712,20030827,아침식사,"감자수제비국,기장밥,돈육마늘장조림,두부달걀전,미역줄기볶음,바나나,여러가지야채2,우유,인삼밤죽,포기김치"
713,20030827,아침식사2,"당근스프(경양식),모듬샐러드,바나나,사과잼(대),스크램블에그(경양식),오징어바튀김,우유,토스트&모닝빵(양식),후르츠펀치"
714,20030827,점심식사,"감자간장조림,꽁치양념구이,석박지,식혜,쌀밥,풋고추,쌈장,한방갈비탕"
715,20030827,저녁식사,"곤약멸치조림,동그랑땡계란전,매실차,쇠고기피망볶음,쌀밥,열무된장무침,오징어무국,포기김치2"
716,20030828,아침식사,"근대국,단배추나물,닭파인애플조림(토막),쌀밥,여러가지야채1,우유,잔파맛살무침,포기김치,흑임자죽"
717,20030828,아침식사2,"딸기잼(대),모닝빵,모듬샐러드,미니돈까스,케찹소스,스위트피클,야채토스트,우유,콘후레이크,크림스프(경양식)"
718,20030828,점심식사,"계란찜,골뱅이야채무침,미나리나물,보리밥,비빔된장,열무김치,오리버섯불고기,콩나물국,후르츠펀치"
719,20030828,저녁식사,"건새우마늘쫑볶음,김치전,깍두기(손칼),도토리묵상추무침,메기탕,삼치엿장조림,쌀밥"
720,20030829,아침식사,"감자간장조림,녹두죽,도라지생채,돈육야채볶음,북어해장국,쌀밥,여러가지야채2,우유,포기김치,포도"
721,20030829,아침식사2,"딸기잼(대),모듬샐러드,스크램블에그(경양식),옥수수스프(경양식),우유,토스트&모닝빵(양식),햄구이(경양식),후르츠펀치"
722,20030829,점심식사,"깐풍기,물만두국,부추게살무침,비름나물,수정과,쌀밥,포기김치2,표고쇠고기볶음"
723,20030829,저녁식사,"돈갈비고구마찜,들깨무채국,땅콩조림,비빔만두,야채밥,잔파생채(70),포기김치2"
724,20030830,아침식사,"갈치그릴구이,김치볶음,닭죽(잔파),쇠고기미역국,쌀밥,여러가지야채1,오이부추무침,우유,통두부,양념장"
725,20030830,아침식사2,"군감자,당근스프(경양식),더운야채,모듬샐러드,우유,콘후레이크,토스트&모닝빵(양식),포도잼(대)"
726,20030830,점심식사,"깍두기(손칼),단배추겉절이,닭다리조림,수박화채,쌀밥(반공기),오징어볼탕수,해물칼국수"
727,20030830,저녁식사,"대구콩나물찜,메추리알햄조림,상추겉절이,쌀밥,아욱국,어채볶음(굵은채),포기김치2"
728,20030831,아침식사,"근대나물,꽈리고추찜,쌀밥,알땅콩죽,어묵쑥갓무국,여러가지야채1,오징어야채볶음,우유,포기김치"
729,20030831,아침식사2,"그린스프(경양식),딸기잼(대),맛감자튀김,모듬샐러드,삶은계란(양식),우유,프렌치토스트&모닝빵,후르츠펀치"
730,20030831,점심식사,"깻잎양파겉절이,떡갈비,삼치엿장조림,쇠고기맑은국,쌀밥,양송이피망볶음,오렌지쥬스(행),포기김치2"
731,20030831,저녁식사,"감자채볶음,김치국,깍두기(손칼),떡볶이,미나리나물,복숭아,쇠불고기,쌀밥"
732,20030901,아침식사,"갈치호박조림,맛살꽈리조림,북어계란국,쌀밥,여러가지야채2,열무된장무침,우유,포기김치,흑임자죽"
733,20030901,아침식사2,"더운야채,모듬샐러드,쇠고기스프(경양식),스크램블에그(경양식),우유,콘후레이크,토스트&모닝빵(양식),포도잼(대)"
734,20030901,점심식사,"가지쇠고기볶음,건새우아욱국,닭갈비,쌀밥,오이양파무침,진미고추장무침,포기김치2"
735,20030901,저녁식사," 알감자 쇠고기 조림,고추지무침,기장밥,깍두기(손칼),닭개장,어묵간장조림,통두부,양념장,파인애플(1조각)"
736,20030902,아침식사,"단배추된장국,불고기낙지찌개,소라죽(소),숙주미나리나물,쌀밥,어채볶음(굵은채),여러가지야채1,우유,포기김치"
737,20030902,아침식사2,"군감자,당근스프(경양식),딸기잼(대),모듬샐러드,비엔나구이(경앙식),우유,콘후레이크,프렌치토스트&모닝빵"
738,20030902,점심식사,"닭살미역국,도라지나물,돈갈비떡찜,백설기,삼치소금구이,식혜,잡채(생선묵):연,찰밥,참나물무침,포기김치2"
739,20030902,저녁식사,"비름나물,쌀밥,열기찜,오징어회무침,조랭이떡국,포기김치2,호박새우젓볶음"
740,20030903,아침식사,"계란후라이,땅콩조림,만두국,미역줄기볶음,쌀밥,아오리사과,여러가지야채1,우유,자반고등어찜2,콩죽,포기김치"
741,20030903,아침식사2,"계란후라이,그린스프(경양식),모듬샐러드,우유,토스트&모닝빵(양식),포도잼(대),햄구이(경양식),후르츠펀치"
742,20030903,점심식사,"깍두기(손칼),도토리묵말이,돈육불고기,부추겉절이,생선까스,수박화채,쌀밥,햄느타리볶음"
743,20030903,저녁식사,"닭다리조림,대체용음식,대체용음식2,쑥갓양파겉절이,콘후레이크과일샐러드,콩나물국,포기김치2,하이라이스"
744,20030904,아침식사,"계란찜,고구마순볶음(포),돈육장조림,쌀밥,여러가지야채3,오징어무국,우유,참치죽,포기김치"
745,20030904,아침식사2,"더운야채,맛감자튀김,모닝빵,모듬샐러드,사과잼(대),야채토스트,우유,콘후레이크,크림스프(경양식)"
746,20030904,점심식사,"가지오이냉국,마늘쫑멸치볶음,산채비빔밥,포기김치2,후르츠펀치"
747,20030904,저녁식사,"깻잎양념절임,꽁치두부찌개,쌀밥,알타리김치,요구르트,추어탕,풋고추,쌈장,해물파전"
748,20030905,아침식사,"도라지생채,삼치소금구이,쌀밥,야채죽,어묵고추볶음,여러가지야채4,열무된장국,우유,포기김치"
749,20030905,아침식사2,"감자튀김(40),딸기잼(대),모듬샐러드,삶은계란(양식),옥수수스프(경양식),우유,토스트&모닝빵(양식),후르츠펀치"
750,20030905,점심식사,"가자미양념장구이,메추리알마늘조림,미숫가루2,알타리김치,야채튀김(쑥갓),오리탕,잔파생채(70),흑미밥"
751,20030905,저녁식사,"근대나물,김치국,깍두기(손칼),닭조림(토막),새우동그랑땡,쌀밥,연근조림"
752,20030906,아침식사,"녹두죽,석박지,설렁탕1,쌀밥,알감자조림,여러가지야채5,오징어회무침,우유,풋고추,쌈장"
753,20030906,아침식사2,"딸기잼(대),모듬샐러드,미니돈까스,케찹소스,스위트피클,양송이스프(경양식),우유,콘후레이크,프렌치토스트&모닝빵"
754,20030906,점심식사,"바나나,비빔만두,쇠고기팽이버섯볶음,쌀밥(반공기),잔치국수,콩나물무침,포기김치2"
755,20030906,저녁식사,"당근스프(경양식),대체용음식,대체용음식2,돈까스,레몬차,새우맛살튀김,스위트피클,쌀밥(반공기),양상치샐러드,포기김치2"
756,20030907,아침식사,"가지볶음,꽁치소금구이2,쌀밥,여러가지야채6,오이부추무침,우유,인삼밤죽,콩나물국,포기김치"
757,20030907,아침식사2,"더운야채,모듬샐러드,비엔나구이(경앙식),쇠고기스프(경양식),우유,토스트&모닝빵(양식),포도잼(대),후르츠펀치"
758,20030907,점심식사,"고등어김치찌개,깍두기(손칼),돈갈비고구마찜,두부양념장구이,부추김무침,수정과,쌀밥,어묵쑥갓무국"
759,20030907,저녁식사,"멸치꽈리조림,비빔된장,삼겹살구이1,상추깻잎쌈,쌀밥,열무겉절이,포기김치2"
760,20030908,아침식사,"부추겉절이,생선묵조림,쇠고기피망볶음,쌀밥,알땅콩죽,여러가지야채7,열무된장국,우유,포기김치2"
761,20030908,아침식사2,"딸기잼(대),모듬샐러드,미니돈까스,케찹소스,스위트피클,옥수수스프(경양식),우유,콘후레이크,토스트&모닝빵(양식)"
762,20030908,점심식사,"기장밥,대구콩나물찜,쑥갓두부무침,아오리사과,오징어무국,잔파맛살무침,탕수육,포기김치2"
763,20030908,저녁식사,"깍두기(손칼),닭파인애플조림(토막),마카로니샐러드,북어무국,오무라이스,쫄면야채무침,파인애플(1조각)"
764,20030909,아침식사,"감자다시마국,꽁치두부찌개,숙주미나리나물,쌀밥,야채죽,여러가지야채3,오징어회무침,우유,포기김치2"
765,20030909,아침식사2,"군감자,더운야채,딸기잼(대),모닝빵,모듬샐러드,야채토스트,우유,크림스프(경양식),후르츠펀치"
766,20030909,점심식사,"깍두기(손칼),닭다리조림,떡볶이,무생채,쇠고기덮밥,수박화채,콩가루배추국(단배추)-사용불가"
767,20030909,저녁식사,"삼치무조림,쌀밥,알타리김치,육개장,표고피망볶음,햄전,호박나물"
768,20030910,아침식사,"닭살간장조림,들깨무채국,비름나물,쌀밥,양송이피망볶음,여러가지야채4,우유,포기김치2,흑임자죽"
769,20030910,아침식사2,"감자튀김(40),모듬샐러드,스크램블에그(경양식),양송이스프(경양식),우유,토스트&모닝빵(양식),포도잼(대),후르츠펀치"
770,20030910,점심식사,"가자미양념장구이,돌나물겉절이,메추리알햄조림,물만두국,바나나,쌀밥,포기김치2,흑콩조림"
771,20030910,저녁식사,"대구지리(가공),돈육장조림,쌀밥,야채고로케,잔파생채(70),칠면조냉채,포기김치2"
772,20030911,아침식사,"LA갈비구이,고구마튀김,고사리나물,무나물,삼치소금구이,시금치나물(90),식혜,오렌지(반),오징어링튀김,전복죽,진미채무말랭이무침,팥밥,포기김치2,한우맑은국"
773,20030911,점심식사,"건취나물볶음,더덕무침,도라지나물,동태전,백김치,쇠갈비찜,수정과,알타리김치,오곡밥,잡채(생선묵):연,조기구이(사용불가),집게맛살튀김,참나물무침,탕국,포도"
774,20030911,저녁식사,"닭불고기(180),대체용음식,동그랑땡계란전,부추게살무침,새알미역국,쌀밥,알감자조림,포기김치2"
775,20030912,아침식사,"깻잎양념절임,돈육불고기,생선까스,쌀밥,어묵쑥갓무국,우유,참치죽,포기김치2"
776,20030912,아침식사2,"그린스프(경양식),더운야채,모듬샐러드,베이컨구이,사과잼(대),우유,콘후레이크,프렌치토스트&모닝빵"
777,20030912,점심식사,"건새우마늘쫑볶음,김치국,깍두기(손칼),단배추겉절이,떡갈비,쌀밥,안동찜닭,후르츠펀치"
778,20030912,저녁식사,"계란찜,골뱅이야채무침,꽁치깻잎조림,대추차,돈등뼈감자탕,석박지,쌀밥,풋고추,쌈장"
779,20030913,아침식사,"갈치그릴구이,계란후라이,김치국,깍두기(손칼),두부찌개,우유,진미잔파무침,호박죽(소),흑미밥"
780,20030913,아침식사2,"계란후라이,당근스프(경양식),딸기잼(대),모듬샐러드,우유,토스트&모닝빵(양식),햄구이(경양식),후르츠펀치"
781,20030913,점심식사,"감자수제비국,꽈리고추찜,복숭아,쇠불고기,쌀밥,오이양파무침,오징어볼탕수,포기김치2"
782,20030913,저녁식사,"깍두기(손칼),깐마늘고추장무침,닭개장,쌀밥,어묵간장조림,자반고등어찜2,호박나물"
783,20030914,아침식사,"비엔나꽈리조림,소라죽(소),쌀밥,오징어야채볶음,우유,즉석김구이,콩나물해장국,포기김치2"
784,20030914,아침식사2,"군감자,더운야채,모듬샐러드,쇠고기스프(경양식),우유,콘후레이크,포도잼(대),프렌치토스트&모닝빵"
785,20030914,점심식사,"감자채피망볶음 ,미트볼케찹조림,북어계란국,삼치엿장조림,쌀밥,아오리사과,참나물겉절이,포기김치2"
786,20030914,저녁식사,"단무지.옥파,닭조림(토막),쌀밥(반공기),요구르트,짬뽕,찐만두,포기김치2"
787,20030915,아침식사,"도라지생채,동태무조림(가공),물만두국,미숫가루2,쌀밥,어채볶음(굵은채),우유,인삼밤죽,포기김치"
788,20030915,아침식사2,"딸기잼(대),모듬샐러드,비엔나구이(경앙식),스크램블에그(경양식),양송이스프(경양식),오징어바튀김,우유,토스트&모닝빵(양식)"
789,20030915,점심식사,"김치국,꽁치두부찌개,돈육불고기,땅콩흑콩조림,미역줄기볶음,쌀밥,알타리김치,후르츠펀치"
790,20030915,저녁식사," 알감자 쇠고기 조림,건새우마늘쫑볶음,고등어김치찌개,깍두기(손칼),쌀밥,어묵쑥갓무국,참나물겉절이"
791,20030916,아침식사,"기장밥,들깨미역국,알땅콩죽,여러가지야채3,열무된장무침,우유,잔파맛살무침,쭈꾸미볶음,포기김치"
792,20030916,아침식사2,"감자튀김(40),당근스프(경양식),딸기잼(대),모듬샐러드,우유,콘후레이크,프렌치토스트&모닝빵,후르츠펀치"
793,20030916,점심식사,"골뱅이야채무침,닭파인애플조림(토막),동그랑땡계란전,바나나,부추김치,쌀밥,콩나물국,포기김치2"
794,20030916,저녁식사,"돌나물겉절이,비빔된장,삼겹살구이2,상추깻잎쌈,쌀밥,양송이피망볶음,포기김치2"
795,20030917,아침식사,"마늘쫑어묵볶음,삼치소금구이,소라죽(소),시금치된장국,쌀밥,여러가지야채4,우유,콩나물무침,포기김치"
796,20030917,아침식사2,"감자튀김(40),그린스프(경양식),더운야채,모듬샐러드,사과잼(대),삶은계란(양식),우유,토스트&모닝빵(양식)"
797,20030917,점심식사,"도토리묵말이,생선까스,쇠고기당면볶음,식혜,쌀밥,열무겉절이,포기김치2,햄느타리볶음"
798,20030917,저녁식사,"감자수제비국,두부강정,쌀밥,자반고등어찜2,참나물무침,통도라지조림,포기김치2"
799,20030918,아침식사,"깍두기(손칼),닭개장,두부찌개,쌀밥,야채죽,여러가지야채7,오징어야채볶음,우유,호박새우젓볶음"
800,20030918,아침식사2,"군감자,딸기잼(대),모듬샐러드,우유,크림스프(경양식),프렌치토스트&모닝빵,햄구이(경양식),후르츠펀치"
801,20030918,점심식사,"가자미양념장구이,감자간장조림,석박지,수정과,쌀밥,풋고추,쌈장,한방갈비탕"
802,20030918,저녁식사,"게맛살샐러드,깍두기(손칼),닭다리조림,부추김치,요구르트,짬뽕밥,카레라이스"
803,20030919,아침식사,"단배추나물,돈육불고기,쇠고기맑은국,쌀밥,여러가지야채4,우유,포기김치,햄전,흑임자죽"
804,20030919,아침식사2,"더운야채,맛감자튀김,모듬샐러드,양송이스프(경양식),우유,콘후레이크,토스트&모닝빵(양식),포도잼(대)"
805,20030919,점심식사,"대구지리(가공),멸치꽈리조림,불고기낙지찌개,소면사리,쌀밥,아오리사과,야채튀김(쑥갓),열무된장무침,포기김치2"
806,20030919,저녁식사,"깍두기(손칼),노란호박전,돌나물겉절이,메기탕,삼치엿장조림,쌀밥"
807,20030920,아침식사,"북어무국,쇠고기메추리알조림,시금치나물(90),쌀밥,어묵고추볶음,여러가지야채2,우유,참치죽,포기김치"
808,20030920,아침식사2,"당근스프(경양식),딸기잼(대),모듬샐러드,미니돈까스,케찹소스,스위트피클,우유,프렌치토스트&모닝빵,후르츠펀치"
809,20030920,점심식사,"깐풍기,야채밥,오이양파무침,즉석김구이,콩가루배추국(단배추)-사용불가,포기김치2,포도,표고쇠고기볶음"
810,20030920,저녁식사,"갈치그릴구이,깻잎양념절임,매실차,쌀밥,알타리김치,연근조림,오징어통회,육개장"
811,20030921,아침식사,"감자채볶음,계란후라이,꽁치양념구이,녹두죽,닭곰탕,마늘쫑지무침,석박지,쌀밥,여러가지야채3,우유"
812,20030921,아침식사2,"계란후라이,모듬샐러드,쇠고기스프(경양식),우유,콘후레이크,토스트&모닝빵(양식),포도잼(대),햄구이(경양식)"
813,20030921,점심식사,"닭조림(토막),숙주나물,쌀밥(반공기),오징어볼탕수,잔치국수,찐고구마,포기김치2"
814,20030921,저녁식사,"가지볶음,대체용음식,돈육장조림,맛살조림,새알미역국,쌀밥,칠면조냉채,포기김치2"
815,20030922,아침식사,"갈치그릴구이,다시마채무침,돈육야채볶음,쌀밥,알땅콩죽,어묵쑥갓무국,여러가지야채4,우유,포기김치"
816,20030922,아침식사2,"그린스프(경양식),딸기잼(대),모듬샐러드,비엔나구이(경앙식),스크램블에그(경양식),우유,토스트&모닝빵(양식),후르츠펀치"
817,20030922,점심식사,"건새우마늘쫑볶음,돈육강정,두부찌개,부추양념장,시금치나물(90),열무된장국,오렌지(반),콩나물밥2,포기김치2"
818,20030922,저녁식사,"감자조림,꽁치양념구이,떡국,쌀밥,오징어회무침,콩나물무침,포기김치2"
819,20030923,아침식사,"고등어무조림,김치국,깍두기(손칼),동그랑땡구이,케찹,쌀밥,야채죽,여러가지야채4,열무된장무침,요구르트"
820,20030923,아침식사2,"당근스프(경양식),더운야채,딸기잼(대),맛감자튀김,모듬샐러드,요구르트,콘후레이크,프렌치토스트&모닝빵"
821,20030923,점심식사,"꽈리고추찜,닭다리바베큐소스,미역된장국,삼치소금구이,쌀밥,포기김치2,호박죽(소)"
822,20030923,저녁식사,"깻잎양념절임,비빔만두,어채볶음(굵은채),팽이버섯국,포기김치2,해물볶음밥,후르츠펀치"
823,20030924,아침식사,"감자당면찌개,계란죽,돈육마늘장조림,쌀밥,여러가지야채4,오징어야채볶음,우유,포기김치,호박나물"
824,20030924,아침식사2,"군감자,모듬샐러드,비엔나구이(경앙식),양송이스프(경양식),우유,콘후레이크,토스트&모닝빵(양식),포도잼(대)"
825,20030924,점심식사,"스틱단무지무침,시금치계란국,식혜,자장밥,쫄면야채무침,콘후레이크과일샐러드,탕수육,포기김치2"
826,20030924,저녁식사,"고추지무침,삼겹살김치볶음,쌀밥,알타리김치,어묵간장조림,추어탕,통두부,양념장"
